Stacje,Miejscowość (lokalizacja),Zakres średniej dziennej mocy dawki [nSv/h],Średnia [nSv/h],Daty
PMS,Rzeszów,91-96,93,1.06.22-14.06.22
PMS,Sanok,85-100,93,1.06.22-14.06.22
PMS,Seimianówka,50-56,53,1.06.22-14.06.22
PMS,Siemiatycze,60-67,63,1.06.22-14.06.22
PMS,Stare Sioło,65-73,69,1.06.22-14.06.22
PMS,Suwałki,81-92,84,1.06.22-14.06.22
PMS,Szczecin,51-58,53,1.06.22-14.06.22
PMS,Tarnów,77-89,81,1.06.22-14.06.22
PMS,Toruń,48-55,51,1.06.22-14.06.22
PMS,Warszawa,87-92,90,1.06.22-14.06.22
PMS,Włodawa,55-62,58,1.06.22-14.06.22
PMS,Wólka Dobryńska,62-69,66,1.06.22-14.06.22
PMS,Wrocław,79-84,81,1.06.22-14.06.22
PMS,Zielona Góra,87-91,89,1.06.22-14.06.22
IMiGW,Gdynia,83-86,84,1.06.22-14.06.22
IMiGW,Gorzów,77-81,78,1.06.22-14.06.22
IMiGW,Legnica,85-88,86,1.06.22-14.06.22
IMiGW,Lesko,92-101,97,1.06.22-14.06.22
IMiGW,Mikołajki,80-88,82,1.06.22-14.06.22
IMiGW,Świnoujście,63-66,64,1.06.22-14.06.22
IMiGW,Warszawa,63-67,65,1.06.22-14.06.22
IMiGW,Włodawa,57-63,60,1.06.22-14.06.22
IMiGW,Zakopane,111-122,116,1.06.22-14.06.22
PMS,Babiki,79-98,82,12.07.22-26.07.22
PMS,Bartniki,100-119,103,12.07.22-26.07.22
PMS,Białystok,67-89,71,12.07.22-26.07.22
PMS,Bielsko-Biała,87-95,91,12.07.22-26.07.22
PMS,Chełm,56-65,58,12.07.22-26.07.22
PMS,Czerniczyn,82-93,86,12.07.22-26.07.22
PMS,Gdynia,102-105,103,12.07.22-26.07.22
PMS,Gołdap,60-95,65,12.07.22-26.07.22
PMS,Kalisz,64-68,66,12.07.22-26.07.22
PMS,Katowice,86-94,88,12.07.22-26.07.22
PMS,Kielce,84-90,86,12.07.22-26.07.22
PMS,Koszalin,80-87,83,12.07.22-26.07.22
PMS,Kraków,115-120,116,12.07.22-26.07.22
PMS,Krasiczyn,80-92,82,12.07.22-26.07.22
PMS,Krzywe,89-105,93,12.07.22-26.07.22
PMS,Legnica,75-81,78,12.07.22-26.07.22
PMS,Łódź,87-92,89,12.07.22-26.07.22
PMS,Lublin,99-103,100,12.07.22-26.07.22
PMS,Machnów Nowy,61-68,63,12.07.22-26.07.22
PMS,Olsztyn,53-58,56,12.07.22-26.07.22
PMS,Opole,64-72,69,12.07.22-26.07.22
PMS,Radom,53-57,55,12.07.22-26.07.22
PMS,Rzeszów,85-97,90,12.07.22-26.07.22
PMS,Sanok,89-107,94,12.07.22-26.07.22
PMS,Seimianówka,50-67,52,12.07.22-26.07.22
PMS,Siemiatycze,60-73,62,12.07.22-26.07.22
PMS,Stare Sioło,65-77,68,12.07.22-26.07.22
PMS,Suwałki,80-98,84,12.07.22-26.07.22
PMS,Szczecin,51-56,53,12.07.22-26.07.22
PMS,Tarnów,77-88,80,12.07.22-26.07.22
PMS,Toruń,49-52,50,12.07.22-26.07.22
PMS,Włodawa,55-68,58,12.07.22-26.07.22
PMS,Wólka Dobryńska,62-75,65,12.07.22-26.07.22
PMS,Wrocław,78-82,80,12.07.22-26.07.22
PMS,Zielona Góra,87-90,89,12.07.22-26.07.22
IMiGW,Gdynia,80-82,81,12.07.22-26.07.22
IMiGW,Gorzów,81-89,85,12.07.22-26.07.22
IMiGW,Legnica,92-100,97,12.07.22-26.07.22
IMiGW,Lesko,97-113,101,12.07.22-26.07.22
IMiGW,Mikołajki,83-88,84,12.07.22-26.07.22
IMiGW,Świnoujście,65-72,67,12.07.22-26.07.22
IMiGW,Warszawa,65-88,69,12.07.22-26.07.22
IMiGW,Włodawa,62-77,65,12.07.22-26.07.22
IMiGW,Zakopane,101-112,105,12.07.22-26.07.22
PMS,Babiki,79-86,81,14.06.22-28.06.22
PMS,Bartniki,78-109,85,14.06.22-28.06.22
PMS,Białystok,68-77,70,14.06.22-28.06.22
PMS,Bielsko-Biała,88-99,92,14.06.22-28.06.22
PMS,Chełm,56-60,58,14.06.22-28.06.22
PMS,Czerniczyn,86-92,89,14.06.22-28.06.22
PMS,Gdynia,102-105,104,14.06.22-28.06.22
PMS,Gołdap,62-67,63,14.06.22-28.06.22
PMS,Kalisz,64-69,66,14.06.22-28.06.22
PMS,Kielce,85-91,88,14.06.22-28.06.22
PMS,Koszalin,82-85,83,14.06.22-28.06.22
PMS,Kraków,115-121,117,14.06.22-28.06.22
