Stacje;Miejscowoœæ (lokalizacja);Zakres œredniej dziennej mocy dawki [nSv/h];Œrednia [nSv/h]
PMS;Babiki;79-103;82
PMS;Bartniki;98-118;101
PMS;Bia³ystok;68-76;70
PMS;Bielsko-Bia³a;87-111;93
PMS;Che³m;55-66;58
PMS;Czerniczyn;84-98;88
PMS;Czêstochowa;38-105;85
PMS;Gdynia;102-106;103
PMS;Go³dap;62-73;64
PMS;Kalisz;62-80;66
PMS;Katowice;85-102;89
PMS;Kielce;86-96;89
PMS;Koszalin;81-89;84
PMS;Kraków;115-122;117
PMS;Krasiczyn;81-90;85
PMS;Krzywe;89-103;93
PMS;Legnica;74-94;79
PMS;£ódŸ;86-101;90
PMS;Lublin;100-107;102
PMS;Machnów Nowy;62-68;64
PMS;Olsztyn;55-64;57
PMS;Opole;66-76;69
PMS;Radom;57-67;59
PMS;Rzeszów;89-101;92
PMS;Sanok;92-102;95
PMS;Seimianówka;50-65;52
PMS;Siemiatycze;59-82;62
PMS;Stare Sio³o;67-74;70
PMS;Suwa³ki;81-96;84
PMS;Szczecin;52-57;54
PMS;Tarnów;78-94;81
PMS;Toruñ;49-57;51
PMS;Warszawa;86-93;89
PMS;W³odawa;56-70;59
PMS;Wólka Dobryñska;63-75;65
PMS;Wroc³aw;76-97;81
PMS;Zielona Góra;87-91;89
IMiGW;Gdynia;79-83;81
IMiGW;Gorzów;83-87;85
IMiGW;Legnica;89-109;95
IMiGW;Lesko;99-109;102
IMiGW;Miko³ajki;83-90;86
IMiGW;Œwinoujœcie;66-69;68
IMiGW;Warszawa;58-81;66
IMiGW;W³odawa;63-76;66
IMiGW;Zakopane;102-111;106
