Stacje;Miejscowoœæ (lokalizacja);Zakres œredniej dziennej mocy dawki [nSv/h];Œrednia [nSv/h]
PMS;Babiki;84-87;86
PMS;Bartniki;80-92;83
PMS;Bia³ystok;71-77;74
PMS;Bielsko-Bia³a;86-93;90
PMS;Che³m;56-60;58
PMS;Czerniczyn;89-92;91
PMS;Czêstochowa;82-86;84
PMS;Gdynia;102-106;103
PMS;Go³dap;66-72;69
PMS;Kalisz;63-69;65
PMS;Katowice;82-103;86
PMS;Kielce;87-95;89
PMS;Koszalin;83-88;85
PMS;Kraków;115-121;116
PMS;Krasiczyn;84-89;87
PMS;Krzywe;90-94;92
PMS;Legnica;72-87;76
PMS;£ódŸ;86-93;89
PMS;Lublin;100-103;101
PMS;Machnów Nowy;62-66;64
PMS;Olsztyn;55-60;57
PMS;Opole;64-71;66
PMS;Radom;57-63;59
PMS;Rzeszów;93-97;95
PMS;Sanok;98-101;99
PMS;Seimianówka;53-56;54
PMS;Siemiatycze;62-64;63
PMS;Stare Sio³o;66-72;70
PMS;Suwa³ki;86-93;88
PMS;Szczecin;50-56;52
PMS;Tarnów;80-84;82
PMS;Toruñ;47-70;51
PMS;Warszawa;88-92;90
PMS;W³odawa;57-61;58
PMS;Wólka Dobryñska;64-67;66
PMS;Wroc³aw;74-80;76
PMS;Zielona Góra;86-95;88
IMiGW;Gdynia;80-83;81
IMiGW;Gorzów;83-90;85
IMiGW;Legnica;85-92;88
IMiGW;Lesko;103-107;105
IMiGW;Miko³ajki;86-92;89
IMiGW;Œwinoujœcie;67-70;68
IMiGW;Warszawa;67-71;68
IMiGW;W³odawa;64-68;65
IMiGW;Zakopane;101-108;104
