Stacje;Miejscowoœæ (lokalizacja);Zakres œredniej dziennej mocy dawki [nSv/h];Œrednia [nSv/h]
PMS;Babiki;79-98;82
PMS;Bartniki;100-119;103
PMS;Bia³ystok;67-89;71
PMS;Bielsko-Bia³a;87-95;91
PMS;Che³m;56-65;58
PMS;Czerniczyn;82-93;86
PMS;Gdynia;102-105;103
PMS;Go³dap;60-95;65
PMS;Kalisz;64-68;66
PMS;Katowice;86-94;88
PMS;Kielce;84-90;86
PMS;Koszalin;80-87;83
PMS;Kraków;115-120;116
PMS;Krasiczyn;80-92;82
PMS;Krzywe;89-105;93
PMS;Legnica;75-81;78
PMS;£ódŸ;87-92;89
PMS;Lublin;99-103;100
PMS;Machnów Nowy;61-68;63
PMS;Olsztyn;53-58;56
PMS;Opole;64-72;69
PMS;Radom;53-57;55
PMS;Rzeszów;85-97;90
PMS;Sanok;89-107;94
PMS;Seimianówka;50-67;52
PMS;Siemiatycze;60-73;62
PMS;Stare Sio³o;65-77;68
PMS;Suwa³ki;80-98;84
PMS;Szczecin;51-56;53
PMS;Tarnów;77-88;80
PMS;Toruñ;49-52;50
PMS;W³odawa;55-68;58
PMS;Wólka Dobryñska;62-75;65
PMS;Wroc³aw;78-82;80
PMS;Zielona Góra;87-90;89
IMiGW;Gdynia;80-82;81
IMiGW;Gorzów;81-89;85
IMiGW;Legnica;92-100;97
IMiGW;Lesko;97-113;101
IMiGW;Miko³ajki;83-88;84
IMiGW;Œwinoujœcie;65-72;67
IMiGW;Warszawa;65-88;69
IMiGW;W³odawa;62-77;65
IMiGW;Zakopane;101-112;105
