Stacje;Miejscowoœæ (lokalizacja);Zakres œredniej dziennej mocy dawki [nSv/h];Œrednia [nSv/h]
PMS;Babiki;79-89;82
PMS;Bartniki;98-112;106
PMS;Bia³ystok;69-78;72
PMS;Bielsko-Bia³a;88-107;94
PMS;Che³m;57-66;59
PMS;Czerniczyn;85-95;91
PMS;Gdynia;102-108;104
PMS;Go³dap;64-68;66
PMS;Kalisz;64-70;66
PMS;Katowice;86-101;90
PMS;Kielce;85-97;89
PMS;Koszalin;80-93;83
PMS;Kraków;115-125;118
PMS;Krasiczyn;81-87;85
PMS;Krzywe;92-96;94
PMS;Legnica;73-89;77
PMS;£ódŸ;87-92;90
PMS;Lublin;99-105;102
PMS;Machnów Nowy;63-68;65
PMS;Olsztyn;54-60;56
PMS;Opole;59-64;61
PMS;Radom;54-61;57
PMS;Rzeszów;87-99;92
PMS;Sanok;92-98;95
PMS;Seimianówka;51-63;54
PMS;Siemiatycze;60-68;63
PMS;Stare Sio³o;67-75;70
PMS;Suwa³ki;82-90;85
PMS;Szczecin;51-64;53
PMS;Tarnów;77-89;81
PMS;Toruñ;48-54;50
PMS;Warszawa;81-94;92
PMS;W³odawa;57-66;59
PMS;Wólka Dobryñska;63-71;66
PMS;Wroc³aw;77-83;80
PMS;Zielona Góra;87-93;89
IMiGW;Gdynia;83-87;84
IMiGW;Gorzów;75-81;77
IMiGW;Legnica;84-94;87
IMiGW;Lesko;96-105;100
IMiGW;Miko³ajki;83-88;86
IMiGW;Œwinoujœcie;63-69;64
IMiGW;Warszawa;62-73;66
IMiGW;W³odawa;59-67;61
IMiGW;Zakopane;109-129;116
